familymart,convenience_store,FAMILYMART @86,"FamilyMart Wisma Lim Foo Yong, Lot G-01, Ground Floor, Wisma Lim Foo Yong, 86, Jalan Raja Chulan, 50200 Kuala Lumpur",3.150867,101.709349,86,"['Wayback Burgers', 'Toyota Tsusho Malaysia', 'The Tole Acupuncture']"
familymart,convenience_store,FAMILYMART @Mid Valley City,"FamilyMart Mid Valley Megamall, F-027C, Level 1, North Court, Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur.",3.119014,101.677789,Mid Valley City,"['Mega Kidz', 'J&G Fried Chicken', 'AEON Member Counter']"
familymart,convenience_store,FAMILYMART @64000,"Gateway @ KLIA2 L3-12 & 13, Level 3, Gateway @ KLIA 2, KLIA 2, KL International Airport, Jalan KLIA 2/1, 64000, Sepang, Kuala Lumpur",2.7390116,101.6870723,64000,"['KLIA2 International Satellite', 'Gate Q3', 'Gate Q5']"
familymart,convenience_store,FAMILYMART @MRT Jajaran Sungai Buloh - Kajang (MRT SBK Line),"K010-1&2, Stesen MRT Taman Tun Dr Ismail, MRT Jajaran Sungai Buloh - Kajang (MRT SBK Line),<Br>Jalan Damansara, 60000 Kuala Lumpur",3.075362,101.590765,MRT Jajaran Sungai Buloh - Kajang (MRT SBK Line),"['IK Copy Centre', 'Mac Centre Bookshop', 'J&J Sales & Services']"
familymart,convenience_store,FAMILYMART @No 6,"Lot No. B1 - 031, Basement 1, Mytown Shopping Centre, No 6, Jalan Cochrane Seksyen 90, 55100 Kuala Lumpur",3.134201,101.72281,No 6,"['Godiva @ MyTown', ""Victoria's Secret"", 'Absolute Thai']"
familymart,convenience_store,FAMILYMART @Ground Floor,"Lot 119, Ground Floor,<Br>Jalan Sultan, 50000 Kuala Lumpur",3.063439,101.616105,Ground Floor,"[""Taylor's Dance Studio"", 'Uni.Gym']"
familymart,convenience_store,FAMILYMART @Subang Jaya,"42 Ground Floor, Jalan Sultan Ismail, 50250 Kuala Lumpur",3.147912,101.707222,Subang Jaya,"['Sports Bar & Grill', 'Envy Kl', 'Ciccio Bar Pizzeria KL']"
familymart,convenience_store,FAMILYMART @47500 Selangor,"G18-1 (Ground Floor), Jalan Changkat Bukit Bintang, 50200 Kuala Lumpur",3.147912,101.707222,47500 Selangor,"['Sports Bar & Grill', 'Envy Kl', 'Ciccio Bar Pizzeria KL']"
familymart,convenience_store,FAMILYMART @Nu Sentral,"GF 40 Ground Floor Level, Nu Sentral, No. 201 Jalan Tun Sambanthan, 50470 Kuala Lumpur",3.133045,101.686594,Nu Sentral,"['Nu Sentral Tower', 'AEROBUS Terminal', ""SAM's Groceria""]"
familymart,convenience_store,FAMILYMART @Lingkaran SV,"Lot No.1-22 Sunway Velocity Mall, Lingkaran SV, Sunway Velocity, 55100 Kuala Lumpur",3.128492,101.723052,Lingkaran SV,"['Kitschen', 'Akemi Uchi', 'Kaffee Haus']"
familymart,convenience_store,FAMILYMART @Level 1 Menara Citibank,"Suite 1.06, Level 1 Menara Citibank, 165 Jalan Ampang, 50450 Kuala Lumpur",3.160061,101.717414,Level 1 Menara Citibank,"['Talisman Energy', 'Citibank', 'Servcorp Smart Office']"
familymart,convenience_store,FAMILYMART @Kampung Datuk Keramat,"Lot C-06, Concourse floor, Intermark Mall, 348, Jalan Tun Razak, Kampung Datuk Keramat, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.161391,101.72016,Kampung Datuk Keramat,"['Jo Nails & Spa', 'MST GOLF SuperStore', 'SumitomoMitsuiBankingCorporation']"
familymart,convenience_store,FAMILYMART @The Scott Garden,"Lot 1-18, The Scott Garden, 289 Jalan Kelang Lama, 58000 Kuala Lumpur",3.205578,101.733062,The Scott Garden,"['Suan SaloOn', 'FamilyMart', 'Tealive']"
familymart,convenience_store,FAMILYMART @Jalan 14/27B,"20, Jalan 14/27B, Taman Desa Setapak, 53300 Kuala Lumpur",3.205578,101.733062,Jalan 14/27B,"['Suan SaloOn', 'FamilyMart', 'Tealive']"
familymart,convenience_store,FAMILYMART @Jalan P.Ramlee,"Lot G11, Ground Floor, Menara Hap Seng, Jalan P.Ramlee, 50250 Kuala Lumpur, Kuala Lumpur",3.152199,101.706845,Jalan P.Ramlee,"['The Well Shopping Mall', 'Hap Seng Consolidated Berhad', 'Caffe Pascucci']"
familymart,convenience_store,FAMILYMART @Taman Segar,"Lot No. L1-48-3, Cheras LeisureMall, Jalan Manis 6, Taman Segar, 56100 Kuala Lumpur, Malaysia",3.090955,101.742409,Taman Segar,"['Baskin-Robbins', 'Hush Puppies', 'SHINS']"
familymart,convenience_store,FAMILYMART @Jalan Malinja 2,"No.17, Jalan Malinja 2, Taman Bunga Raya, 53000 Kuala Lumpur",3.07114,101.694901,Jalan Malinja 2,"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
familymart,convenience_store,FAMILYMART @UCSI Heights (Taman Connaught),"Lobby, Level 1, Block A, UCSI University, No 1, Jalan Menara Gading, UCSI Heights (Taman Connaught), 56000 Cheras, Kuala Lumpur",3.07114,101.694901,UCSI Heights (Taman Connaught),"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
familymart,convenience_store,FAMILYMART @Bandar Sri Petaling,"No 75G, Jalan Radin Bagus, Bandar Sri Petaling, 57000, Kuala Lumpur",3.07114,101.694901,Bandar Sri Petaling,"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
